,article_id,feed_article_id,article_group_id,feed_source,title,momentum
0,2757585409,9.69012E+17,2746988507,gnip_twitter,"RT @Pentair: Pentair Announces New Innovation Center in Apex, N.C. https://t.co/dbN250gYnGPhoto courtesy of @ApexEconDev https://t.co/Gt7B...",
1,2757610568,9.6902E+17,2741286443,gnip_twitter,RT @bmsnews: #StupidCancer CEO @MatthewZachary works to #HackChildhoodCancer. He's with us this year at #SXSW2018 to discuss new approaches...,
2,2757588238,9.69015E+17,2754162952,gnip_twitter,"RT @MSDInvents: #MotivationMonday: For more days filled with imagination and everlasting friendships, we're #InventingForLife. https://t.co...",
3,2757588716,9.69015E+17,2755992970,gnip_twitter,"RT @bmsnews: If you're at #SXSW2018, join us to hear @MJhaveriPhD discuss how @MusicBeatCancer is changing the way cancer #biotechnology re...",
4,2757590140,9.69014E+17,2755571831,gnip_twitter,RT @MSDInvents: Tomorrow is #RareDiseaseDay! Read more and find out how to get involved: https://t.co/z1i4NL5uue,
5,2757590274,33434061015,2756545753,moreoverblog,Russia bombshells...,1032.13
6,2757590856,33434061020,2756477917,moreoverblog,Power...,70.77
7,2757589441,113746_121313,2755382892,opoint,"At Some California Hospitals, Fewer Than Half Of Workers Get The Flu Shot",73.6
8,2757596435,33434375315,2756249859,moreoverblog,Making Electricity Markets Competitive Again,42.43
9,2757610621,9.6902E+17,2751697930,gnip_twitter,"RT @utilityreporter: In the fall, @APSfyi told me and its 1M customers hot weather, not rate increase, was driving bills higher. Today, @AP...",
10,2757618315,33434533037,2755817026,moreoverblog,The Moon is Getting 4G Coverage,632.54
11,2757620318,9.69023E+17,2736690803,gnip_twitter,"RT @Lawfirm_MA: The CDC director has been caught buying shares of vaccine maker Merck, as well as stock in cigarette and junk food companie...",
12,2757622251,9.69024E+17,2755992970,gnip_twitter,"RT @bmsnews: If you're at #SXSW2018, join us to hear @MJhaveriPhD discuss how @MusicBeatCancer is changing the way cancer #biotechnology re...",
13,2757622767,9.69024E+17,2756018432,gnip_twitter,RT @MerckforMothers: Every mother should have the chance to experience moments like this with her child. That's why we're #InventingforLi...,
14,2757628633,9.69027E+17,2752686917,gnip_twitter,RT @RepDonBeyer: Warren Buffett's company got $29 billion in gains from the GOP tax cut. That's five times as much as all the bonuses and...,
15,2757634933,9.69028E+17,2756510630,gnip_twitter,RT @pfizer: Find out how our scientists are committed to helping #sicklecell patients live beyond the pain via @BostonGlobe: https://t.co/l...,
16,2757634934,9.69028E+17,2756093480,gnip_twitter,RT @pfizer: Can genetic tweaks made by #genetherapy be passed down to children? Learn about the science behind gene therapy: https://t.co/d...,
17,2757634935,9.69028E+17,2754254442,gnip_twitter,RT @pfizer: Could the technology behind gene therapy help patients with genetic diseases? Learn about gene therapy here: https://t.co/lj0lN...,
18,2757635482,35955_5865073,2756700580,opoint,GLOBALES: Musk Dares to Go Where Others Failed With Space-Based Web,194.61
19,2757698820,9.69045E+17,2666249650,gnip_twitter,RT @LoveitStill: So does @Bayer @pfizer @ClearChoice @DIRECTV @Gillette agree that it's ok to be a pedophile like @seanhannity says. Boycot...,
20,2757702821,_33435084142,2753277851,moreover,"Wire-transfer scheme, ransomware attack - small US town finds itself in criminals' crosshairs",81.87
21,2757702951,9.69046E+17,2753550423,gnip_twitter,RT @profwolff: Superrich Warren Buffett's company - Berkshire Hathaway - gained $29 billion from the Trump/GOP tax cut in December. Such su...,
22,2757573951,9.69003E+17,2754633301,gnip_twitter,RT @bmsnews: Hear from pediatric cancer survivor @StupidCancer's @MatthewZachary at #SXSW2018. #HackChildhoodCancer. https://t.co/jCljv1ieO...,
23,2757574740,9.69004E+17,2756886944,gnip_twitter,RT @CharlieCW: Really fascinating morning filming with Pfizer around putting patients at heart of developing treatments and including them...,
24,2757590674,33434041245,2756347111,moreoverblog,"Keep Your Trust in Real Estate, but Diversify",16.16
25,2757601518,9.69017E+17,2756356303,gnip_twitter,RT @MSD_Aus: The 'Pharma2Peak Cup' competition is on. Nothing like a little friendly competition for a good cause! #KosiChallenge2018 @Rare...,
26,2757601523,9.69016E+17,2756018432,gnip_twitter,RT @MerckforMothers: Every mother should have the chance to experience moments like this with her child. That's why we're #InventingforLi...,
27,2757604402,9.69018E+17,2751148050,gnip_twitter,RT @Merck: It isn't too late to make a difference! Every share helps people impacted by cancer &amp; raises $5 for the advocacy groups who supp...,
28,2757606112,9.69019E+17,2754633301,gnip_twitter,RT @bmsnews: Hear from pediatric cancer survivor @StupidCancer's @MatthewZachary at #SXSW2018. #HackChildhoodCancer. https://t.co/jCljv1ieO...,
29,2757606544,9.69019E+17,2751697930,gnip_twitter,"RT @utilityreporter: In the fall, @APSfyi told me and its 1M customers hot weather, not rate increase, was driving bills higher. Today, @AP...",
30,2757667259,9.69032E+17,2754801462,gnip_twitter,"RT @Merck: ""We don't just want to be successful, we want to be significant."" - Ken Frazier #CIF2018",
31,2757684310,_33434906819,2756681674,moreover,PFIZER : There's a shortage of opioids where they're needed most - in hospitals,136.97
32,2757684563,3478_2193439,2756342688,opoint,JPMorgan Chase Admits Cryptocurrency Is a 'Risk'to its Business for the First Time,342.32
